,index,Formula,AIC,BIC,VIF
0,0,heat_flux_change ~ sample_wt*start_temp + LMA,308.4,332.9,1.63
1,3,heat_flux_change ~ sample_wt*start_temp + LMA + thickness,309.76,337.32,1.65
2,6,heat_flux_change ~ sample_wt*start_temp + LMA + stem_sav,309.81,337.38,1.99
3,7,heat_flux_change ~ sample_wt*start_temp + LMA + leaf_sav,309.89,337.45,1.84
4,2,heat_flux_change ~ sample_wt*start_temp + LMA + branching,309.9,337.46,1.75
5,4,heat_flux_change ~ sample_wt*start_temp + lfm + LMA,309.97,337.53,1.64
6,9,heat_flux_change ~ sample_wt*start_temp + LMA + mpa,310.14,337.7,1.68
7,12,heat_flux_change ~ sample_wt*start_temp + LMA + dmc,310.34,337.91,1.71
8,10,heat_flux_change ~ sample_wt*start_temp + LMA + branch_volume,310.38,337.94,3.08
9,1,heat_flux_change ~ sample_wt*start_temp + LMA + leaf_mass_ratio,310.39,337.96,1.78
